Title,Ingredients,Summary,Image_Name,Cleaned_Ingredients
Hot Pimento Cheese Dip,"['1 (7 oz./200 g) can chipotle in adobo sauce', '½ garlic clove, minced', 'Kosher salt', '1½ tsp. cornstarch', '1 (5 fl oz./150 ml) can evaporated milk (about ½ cup plus 2 Tbsp)', '8 oz. (230 g) sharp or extra-sharp Cheddar cheese, coarsely grated (about 2 cups)', '2 oz. (55 g) cream cheese, roughly diced, at room temperature', '¼ cup (60 g) mayonnaise', '1 (4 oz./115 g) jar diced pimento peppers, drained', '1½ tsp. Chipotle Pepper Purée']","The chipotle purée can be made in advance, stored in an airtight container, and refrigerated for up to 2 months. Put the chipotle peppers and adobo sauce in a small food processor or blender.",hot-pimento-cheese-dip-polina-chesnakova,"['1 (7 oz./200 g) can chipotle in adobo sauce', '½ garlic clove, minced', 'Kosher salt', '1½ tsp. cornstarch', '1 (5 fl oz./150 ml) can evaporated milk (about ½ cup plus 2 Tbsp)', '8 oz. (230 g) sharp or extra-sharp Cheddar cheese, coarsely grated (about 2 cups)', '2 oz. (55 g) cream cheese, roughly diced, at room temperature', '¼ cup (60 g) mayonnaise', '1 (4 oz./115 g) jar diced pimento peppers, drained', '1½ tsp. Chipotle Pepper Purée']"
Spiral Ham in the Slow Cooker,"['1 (6- to 7-pound) bone-in, hickory-smoked, uncured fully cooked ham', '5 medium parsnips, peeled and halved lengthwise', '5 medium carrots, peeled and halved lengthwise', '1 cup maple syrup', '2 cups unsweetened apple juice', '½ cup packed dark brown sugar', '½ cup smooth Dijon mustard', '½ cup grainy Dijon mustard', '2 tablespoons apple cider vinegar', 'Kosher salt (if needed)']","Pour 3 cups of water into a 7-quart slow cooker. Add the ham, cut-side up, as well as the parsnips and carrots. Cook on high, uncovered, for 30 to 45 minutes. Cover the slow cooker and cook on low until the ham is tender, 3 to 4 hours.",spiral-ham-in-the-slow-cooker-guarnaschelli,"['1 (6- to 7-pound) bone-in, hickory-smoked, uncured fully cooked ham', '5 medium parsnips, peeled and halved lengthwise', '5 medium carrots, peeled and halved lengthwise', '1 cup maple syrup', '2 cups unsweetened apple juice', '½ cup packed dark brown sugar', '½ cup smooth Dijon mustard', '½ cup grainy Dijon mustard', '2 tablespoons apple cider vinegar', 'Kosher salt (if needed)']"
Butternut Squash and Apple Soup,"['6 slices bacon, cut crosswise into ½-inch pieces', '2 celery ribs, chopped', '1 carrot, chopped', '1 medium onion, chopped', '¼ teaspoon cinnamon', '¾ pound boiling potatoes', '2 medium Granny Smith apples (about ¾ pound total)', '1 ½ pounds butternut squash, peeled, seeded, and cut into ½-inch pieces (3½ to 4 cups)', '2 cups reduced-sodium chicken stock or broth', '2 to 2½ cups water', 'Sour cream']","Cook bacon in a 6-quart heavy pot over medium heat, stirring occasionally, until crisp. Peel and core 1 apple and coarsely chop. Peel potatoes and chop them.",butternut-squash-apple-soup-365210,"['6 slices bacon, cut crosswise into ½-inch pieces', '2 celery ribs, chopped', '1 carrot, chopped', '1 medium onion, chopped', '¼ teaspoon cinnamon', '¾ pound boiling potatoes', '2 medium Granny Smith apples (about ¾ pound total)', '1 ½ pounds butternut squash, peeled, seeded, and cut into ½-inch pieces (3½ to 4 cups)', '2 cups reduced-sodium chicken stock or broth', '2 to 2½ cups water', 'Sour cream']"
Caesar Salad Roast Chicken,"['8 anchovies, mashed to a paste', '8 garlic cloves, finely grated', '6 Tbsp. mayonnaise, divided', '1 Tbsp. Dijon mustard, plus more for serving', '2 Tbsp. extra-virgin olive oil, divided', '1½ tsp. freshly ground black pepper, plus more', '1 (3½–4-lb.) whole chicken or 4 chicken legs (thigh and drumstick; about 3 lb.)', 'Kosher salt', '8 medium shallots, unpeeled, halved lengthwise', '2 lemons, divided', '1 oz. Parmesan, finely grated', '4 oz. country-style bread, torn into (1½"") pieces', '2 romaine hearts, leaves separated, torn']",Pat chicken dry; season outside and inside all over with salt. Arrange breast side up in a cast-iron skillet and tuck wings underneath. Finely grate half of zest of 1 lemon into a large bowl; cut lemon in half and squeeze juice.,caesar-salad-roast-chicken,"['8 anchovies, mashed to a paste', '8 garlic cloves, finely grated', '6 Tbsp. mayonnaise, divided', '1 Tbsp. Dijon mustard, plus more for serving', '2 Tbsp. extra-virgin olive oil, divided', '1½ tsp. freshly ground black pepper, plus more', '1 (3½–4-lb.) whole chicken or 4 chicken legs (thigh and drumstick; about 3 lb.)', 'Kosher salt', '8 medium shallots, unpeeled, halved lengthwise', '2 lemons, divided', '1 oz. Parmesan, finely grated', '4 oz. country-style bread, torn into (1½"") pieces', '2 romaine hearts', 'leaves separated', 'torn']"
Chicken and Rice With Leeks and Salsa Verde,"['1½ lb. skinless, boneless chicken thighs (4–8 depending on size)', 'Kosher salt, freshly ground pepper', '3 Tbsp. unsalted butter, divided', '2 large or 3 medium leeks, white and pale green parts only, halved lengthwise, thinly sliced', 'Zest and juice of 1 lemon, divided', '1½ cups long-grain white rice, rinsed until water runs clear', '2¾ cups low-sodium chicken broth', '1 oil-packed anchovy fillet', '2 garlic cloves', '1 Tbsp. drained capers', 'Crushed red pepper flakes', '1 cup tender herb leaves (such as parsley, cilantro, and/or mint)', '4–5 Tbsp. extra-virgin olive oil']","Melt 2 Tbsp. butter in a large high-sided skillet over medium-high heat. Add leeks and half of lemon zest, season with salt and pepper, and mix to coat leeks in butter. Reduce heat to medium-low, cover, and cook, stirring occasionally, until leeks are somewhat tender, about 5 minutes.",chicken-and-rice-with-leeks-and-salsa-verde,"['1½ lb. skinless, boneless chicken thighs (4–8 depending on size)', 'Kosher salt, freshly ground pepper', '3 Tbsp. unsalted butter, divided', '2 large or 3 medium leeks, white and pale green parts only, halved lengthwise, thinly sliced', 'Zest and juice of 1 lemon, divided', '1½ cups long-grain white rice, rinsed until water runs clear', '2¾ cups low-sodium chicken broth', '1 oil-packed anchovy fillet', '2 garlic cloves', '1 Tbsp. drained capers', 'Crushed red pepper flakes', '1 cup tender herb leaves (such as parsley, cilantro, and/or mint)', '4–5 Tbsp. extra-virgin olive oil']"
Gorditas con Camarones,"['1⅓ cups instant corn masa flour (such as Maseca)', '5 Tbsp. lard, melted, or vegetable oil, divided', '2½ tsp. Diamond Crystal or 1½ tsp. Morton kosher salt, divided, plus more', '4 guajillo or dried New Mexico chiles, stems and seeds removed', '2 morita chiles, stems removed, or 2 canned chipotle chiles in adobo', '1 tsp. ground coriander or cumin', '1½ lb. medium shrimp, peeled, deveined', '4 garlic cloves, thinly sliced', '2 sprigs thyme', '1 Tbsp. apple cider vinegar', '1 tsp. agave syrup or honey', '3 Tbsp. unsalted butter, cut into pieces', 'Sliced onion, sliced avocado, cilantro leaves with tender stems, and lime wedges (for serving)']","Mash masa, 1 Tbsp. lard, 1 tsp. Diamond Crystal or ½ tsp. Morton salt, and 1 cup water in a medium bowl until a soft and slightly sticky dough forms. Cover and let sit at least 30 minutes and up to 3 hours. Bring guajillo chiles, morita chiles and coriander to a boil in",gorditas-con-camarones,"['1⅓ cups instant corn masa flour (such as Maseca)', '5 Tbsp. lard, melted, or vegetable oil, divided', '2½ tsp. Diamond Crystal or 1½ tsp. Morton kosher salt, divided, plus more', '4 guajillo or dried New Mexico chiles, stems and seeds removed', '2 morita chiles, stems removed, or 2 canned chipotle chiles in adobo', '1 tsp. ground coriander or cumin', '1½ lb. medium shrimp, peeled, deveined', '4 garlic cloves, thinly sliced', '2 sprigs thyme', '1 Tbsp. apple cider vinegar', '1 tsp. agave syrup or honey', '3 Tbsp. unsalted butter, cut into pieces', 'Sliced onion', 'sliced avocado', 'cilantro leaves with tender stems', 'and lime wedges (for serving)']"
Enfrijoladas,"['5 Tbsp. vegetable oil, divided', '8 corn tortillas', '12 oz. fresh chorizo', '3 garlic cloves, crushed', '½ medium white onion, thinly sliced, plus more for serving', 'Kosher salt', '2 (15-oz.) cans black beans, rinsed, or 3 cups Frijoles de la Olla, drained', '1½ cups low-sodium chicken broth', '6 oz. queso fresco or Cotija cheese, crumbled', 'Cilantro leaves with tender stems and sliced avocado (for serving)']","Cook chorizo, breaking up with a wooden spoon, until browned and cooked through. Add garlic and ½ onion to same skillet, season with salt, and cook, tossing occasionally, until tender and beginning to brown, 6–8 minutes. Add beans and broth to blender and purée until smooth.",enfrijoladas,"['5 Tbsp. vegetable oil, divided', '8 corn tortillas', '12 oz. fresh chorizo', '3 garlic cloves, crushed', '½ medium white onion, thinly sliced, plus more for serving', 'Kosher salt', '2 (15-oz.) cans black beans, rinsed, or 3 cups Frijoles de la Olla, drained', '1½ cups low-sodium chicken broth', '6 oz. queso fresco or Cotija cheese, crumbled', 'Cilantro leaves with tender stems and sliced avocado (for serving)']"
Caramelized Plantain Parfait,"['6 Tbsp. virgin coconut oil', '4 ripe (spotted) plátanos manzanos or 2 large ripe (black) plantains, peeled, sliced in half lengthwise', 'Kosher salt', '3 cups plain unsweetened coconut milk yogurt or Greek yogurt', '2 ripe mangoes, thinly sliced', 'Toasted nuts, seeds, and/or unsweetened shredded coconut (for serving)']","Heat oil in a large nonstick skillet over medium-high. Cook plantains, turning once, until deep golden brown. Transfer to paper towels to drain; season with salt.",caramelized-plantain-parfait,"['6 Tbsp. virgin coconut oil', '4 ripe (spotted) plátanos manzanos or 2 large ripe (black) plantains, peeled, sliced in half lengthwise', 'Kosher salt', '3 cups plain unsweetened coconut milk yogurt or Greek yogurt', '2 ripe mangoes, thinly sliced', 'Toasted nuts', 'seeds', 'and/or unsweetened shredded coconut (for serving)']"
Chicken and Potato Gratin With Brown Butter Cream,"['3 lb. skin-on, bone-in chicken thighs and drumsticks', '7½ tsp. kosher salt, divided', '1 lb. small potatoes (such as fingerling or baby Yukon Gold), halved lengthwise', '8 oz. small or medium shallots, halved through root ends', '5 Tbsp. unsalted butter, divided', '¾ cup heavy cream', '2 garlic cloves, finely grated', '½ tsp. freshly ground black pepper', '¼ tsp. freshly grated or ground nutmeg', '8 sprigs thyme', '8 sage leaves', '3½ oz. country-style bread, preferably day-old, torn into large pieces', '1 lemon, cut into wedges (optional)']","Melt 4 Tbsp. butter in a small saucepan over medium heat and cook, stirring often, until butter foams, then browns, 5–8 minutes. Season chicken all over with 4 tsp. salt. Chill at least 1 hour and up to 1 day.",chicken-and-potato-gratin-brown-butter-cream,"['3 lb. skin-on, bone-in chicken thighs and drumsticks', '7½ tsp. kosher salt, divided', '1 lb. small potatoes (such as fingerling or baby Yukon Gold), halved lengthwise', '8 oz. small or medium shallots, halved through root ends', '5 Tbsp. unsalted butter, divided', '¾ cup heavy cream', '2 garlic cloves, finely grated', '½ tsp. freshly ground black pepper', '¼ tsp. freshly grated or ground nutmeg', '8 sprigs thyme', '8 sage leaves', '3½ oz. country-style bread, preferably day-old, torn into large pieces', '1 lemon', 'cut into wedges (optional)']"
Roasted Beets With Crispy Sunchokes and Pickled Orange-Ginger Purée,"['Strips of zest (no pith) from 1 medium orange', '2½ ounces fresh ginger (about one 5-inch piece), peeled and thinly shaved (use a mandoline if you have one)', '¼ cup fresh lime juice', '¼ cup champagne vinegar', '¼ cup sugar', '2 tablespoons plus ¾ teaspoon kosher salt', '2 tablespoons extra-virgin olive oil', '½ Thai chile, with seeds', '1½ pounds beets (use a mix of colors if possible), about 5 medium', '¼ cup extra-virgin olive oil', '¼ cup white wine vinegar', '¼ cup water', 'Kosher salt and freshly ground black pepper', '1 tablespoon extra-virgin olive oil', '½ cup roughly chopped cashews', '4 large sunchokes, thinly shaved (use a mandoline if you have one)', 'Vegetable oil', 'Kosher salt', '1 medium orange', 'Roasted Beets', 'Extra-virgin olive oil', 'Kosher salt', '¼ cup Pickled Orange-Ginger Puree', 'Toasted Cashews', '1 tablespoon roughly chopped tarragon', '1 tablespoon roughly chopped dill fronds', 'Sunchoke Chips']",The pickled ginger can be refrigerated for a couple of months. The sunchoke chips can be stored in an airtight container at room temperature for a day or two.,roasted-beets-with-crispy-sunchokes-and-pickled-orange-ginger-puree,"['Strips of zest (no pith) from 1 medium orange', '2½ ounces fresh ginger (about one 5-inch piece), peeled and thinly shaved (use a mandoline if you have one)', '¼ cup fresh lime juice', '¼ cup champagne vinegar', '¼ cup sugar', '2 tablespoons plus ¾ teaspoon kosher salt', '2 tablespoons extra-virgin olive oil', '½ Thai chile, with seeds', '1½ pounds beets (use a mix of colors if possible), about 5 medium', '¼ cup extra-virgin olive oil', '¼ cup white wine vinegar', '¼ cup water', 'Kosher salt and freshly ground black pepper', '1 tablespoon extra-virgin olive oil', '½ cup roughly chopped cashews', '4 large sunchokes, thinly shaved (use a mandoline if you have one)', 'Vegetable oil', 'Kosher salt', '1 medium orange', 'Roasted Beets', 'Extra-virgin olive oil', 'Kosher salt', '¼ cup Pickled Orange-Ginger Puree', 'Toasted Cashews', '1 tablespoon roughly chopped tarragon', '1 tablespoon roughly chopped dill fronds', 'Sunchoke Chips']"
Kale and Pumpkin Falafels With Pickled Carrot Slaw,"['¾ cup (120g or 4½ oz) toasted pepitas (pumpkin seeds)', '3 cups (90g or 3 oz) shredded kale, stems removed (about 3 large leaves)', '1 clove garlic, crushed', '1 (16 oz or 400g ) can chickpeas (garbanzo beans), rinsed, drained', '1½ teaspoons ground turmeric', '½ cup (6g or ¼ oz) coriander (cilantro) leaves', 'Sea salt and cracked black pepper', '3 cups (450g or 1 lb) firmly packed grated pumpkin', 'Extra virgin olive oil, for brushing', 'Plain Greek-style yogurt and hulled tahini, to serve', '6 carrots, shredded using a julienne peeler', '2 tablespoons apple cider vinegar', '2 tablespoons honey', '2 large red chiles, sliced', '½ cup (6g or ¼ oz) coriander (cilantro) leaves']","Pumpkin falafels are a traditional falafel recipe. They are served with yoghurt, tahini and a pickled carrot slaw.",kale-and-pumpkin-falafels-with-pickled-carrot-slaw,"['¾ cup (120g or 4½ oz) toasted pepitas (pumpkin seeds)', '3 cups (90g or 3 oz) shredded kale, stems removed (about 3 large leaves)', '1 clove garlic, crushed', '1 (16 oz or 400g ) can chickpeas (garbanzo beans), rinsed, drained', '1½ teaspoons ground turmeric', '½ cup (6g or ¼ oz) coriander (cilantro) leaves', 'Sea salt and cracked black pepper', '3 cups (450g or 1 lb) firmly packed grated pumpkin', 'Extra virgin olive oil, for brushing', 'Plain Greek-style yogurt and hulled tahini, to serve', '6 carrots, shredded using a julienne peeler', '2 tablespoons apple cider vinegar', '2 tablespoons honey', '2 large red chiles, sliced', '½ cup (6g or ¼ oz) coriander (cilantro) leaves']"
Maple and Chile Roasted Squash With Quinoa Tabouli,"['1 (2kg or 4 lb or 4 oz) butternut squash or 2 (1kg or 2 lb or 3 oz) butternut squash, halved', '2 tablespoons extra virgin olive oil', '1 tablespoon pure maple syrup', '1 teaspoon chile flakes', 'Sea salt and cracked black pepper', '1/4 cup (40g or 1 ½ oz) roasted almonds, chopped', '2 cups (320g or 11 ¼ oz) cooked quinoa', '½ cup (8g or ¼ oz) torn mint leaves', '60g (2 oz) wild rocket (arugula) leaves', '½ cup (140g or 5 oz) hulled tahini', '⅔ cup (160ml or 5 ½ fl oz) lemon juice', '1 cup (250ml or 8 ½ fl oz) water', '1 clove garlic, crushed', 'Sea salt flakes']","Preheat oven to 220°C (425°F) Place squash, cut side up, onto a baking tray. Combine the oil, maple, chile, salt and pepper and brush over the squash. Cover with aluminium foil and roast for 20 minutes.",maple-chile-roasted-pumpkin-with-quinoa-tabouli,"['1 (2kg or 4 lb or 4 oz) butternut squash or 2 (1kg or 2 lb or 3 oz) butternut squash, halved', '2 tablespoons extra virgin olive oil', '1 tablespoon pure maple syrup', '1 teaspoon chile flakes', 'Sea salt and cracked black pepper', '1/4 cup (40g or 1 ½ oz) roasted almonds, chopped', '2 cups (320g or 11 ¼ oz) cooked quinoa', '½ cup (8g or ¼ oz) torn mint leaves', '60g (2 oz) wild rocket (arugula) leaves', '½ cup (140g or 5 oz) hulled tahini', '⅔ cup (160ml or 5 ½ fl oz) lemon juice', '1 cup (250ml or 8 ½ fl oz) water', '1 clove garlic, crushed', 'Sea salt flakes']"
Chhena Poda (Spiced Cheesecake),"['Ghee, for the cake pan', '8 ounces paneer, preferably homemade', '¼ cup confectioners’ sugar', '½ teaspoon ground cardamom', '2 tablespoons semolina', '1½ tablespoons ghee, store-bought or homemade', '¼ cup whole milk', '2 tablespoons roasted cashews', '2 tablespoons golden raisins', '3 tablespoons granulated sugar', 'Freshly whipped cream or sliced almonds (optional), for serving']","In a large bowl, stir together the paneer, confectioners’ sugar, and cardamom. Add the semolina, ghee, and milk and whisk until smooth. Stir in the cashews and raisins and set aside. Preheat the oven to 350°F.",chhena-poda-paneer-cheesecake,"['Ghee, for the cake pan', '8 ounces paneer, preferably homemade', '¼ cup confectioners’ sugar', '½ teaspoon ground cardamom', '2 tablespoons semolina', '1½ tablespoons ghee, store-bought or homemade', '¼ cup whole milk', '2 tablespoons roasted cashews', '2 tablespoons golden raisins', '3 tablespoons granulated sugar', 'Freshly whipped cream or sliced almonds (optional)', 'for serving']"
Paneer,"['2 quarts whole milk', 'Juice of 2 lemons', '½ teaspoon kosher salt']","In a medium saucepan, heat the milk to 195°F over medium heat. Stir frequently during the heating process to prevent the milk from scalding. The milk will become foamy and bubbles will form on its surface once it reaches the desired temperature.",homemade-paneer-recipe,"['2 quarts whole milk', 'Juice of 2 lemons', '½ teaspoon kosher salt']"
